no,UserInfo_1,UserInfo_2,UserInfo_3,UserInfo_4,UserInfo_5,UserInfo_6,UserInfo_7,UserInfo_8,UserInfo_9,UserInfo_10,UserInfo_11,UserInfo_12,UserInfo_13,UserInfo_14,UserInfo_15,UserInfo_16,UserInfo_17,UserInfo_18,UserInfo_19,UserInfo_20,UserInfo_21,UserInfo_22,UserInfo_23,UserInfo_24,UserInfo_25,UserInfo_26,UserInfo_27,UserInfo_28,UserInfo_29,UserInfo_30,UserInfo_31,UserInfo_32,UserInfo_33,UserInfo_34,UserInfo_35,UserInfo_36,UserInfo_37,UserInfo_38,UserInfo_39,UserInfo_40,UserInfo_41,UserInfo_42,UserInfo_43,UserInfo_44,UserInfo_45,UserInfo_46,UserInfo_47,UserInfo_48,UserInfo_49,UserInfo_50,UserInfo_51,UserInfo_52,UserInfo_53,UserInfo_54,UserInfo_55,UserInfo_56,UserInfo_57,UserInfo_58,UserInfo_59,UserInfo_60,UserInfo_61,UserInfo_62,UserInfo_63,UserInfo_64,UserInfo_65,UserInfo_66,UserInfo_67,UserInfo_68,UserInfo_69,UserInfo_70,UserInfo_71,UserInfo_72,UserInfo_73,flag,UserInfo_74,UserInfo_75,UserInfo_76,UserInfo_77,UserInfo_78,UserInfo_79,UserInfo_80,UserInfo_81,UserInfo_82,UserInfo_83,UserInfo_84,UserInfo_85,UserInfo_86,UserInfo_87,UserInfo_88,UserInfo_89,UserInfo_90,UserInfo_91,UserInfo_92,UserInfo_93,UserInfo_94,UserInfo_95,UserInfo_96,UserInfo_97,UserInfo_98,UserInfo_99,UserInfo_100,UserInfo_101,UserInfo_102,UserInfo_103,UserInfo_104,UserInfo_105,UserInfo_106,UserInfo_107,UserInfo_108,UserInfo_109,UserInfo_110,UserInfo_111,UserInfo_112,UserInfo_113,UserInfo_114,UserInfo_115,UserInfo_116,UserInfo_117,UserInfo_118,UserInfo_119,UserInfo_120,UserInfo_121,UserInfo_122,UserInfo_123,UserInfo_124,UserInfo_125,UserInfo_126,UserInfo_127,UserInfo_128,UserInfo_129,UserInfo_130,UserInfo_131,UserInfo_132,UserInfo_133,UserInfo_134,UserInfo_135,UserInfo_136,UserInfo_137,UserInfo_138,UserInfo_139,UserInfo_140,UserInfo_141,UserInfo_142,UserInfo_143,UserInfo_144,UserInfo_145,UserInfo_146,UserInfo_147,UserInfo_148,UserInfo_149,UserInfo_150,UserInfo_151,UserInfo_152,UserInfo_153,UserInfo_154,UserInfo_155,UserInfo_156,UserInfo_157,UserInfo_158,UserInfo_159,UserInfo_160,UserInfo_161,UserInfo_162,UserInfo_163,UserInfo_164,UserInfo_165,UserInfo_166,UserInfo_167,UserInfo_168,UserInfo_169,UserInfo_170,UserInfo_171,UserInfo_172,UserInfo_173,UserInfo_174,UserInfo_175,UserInfo_176,UserInfo_177,UserInfo_178,UserInfo_179,UserInfo_180,UserInfo_181,UserInfo_182,UserInfo_183,UserInfo_184,UserInfo_185,UserInfo_186,UserInfo_187,UserInfo_188,UserInfo_189,UserInfo_190,UserInfo_191,UserInfo_192,UserInfo_193,UserInfo_194,UserInfo_195,UserInfo_196,UserInfo_197,UserInfo_198,UserInfo_199,UserInfo_200,UserInfo_201,UserInfo_202,UserInfo_203,UserInfo_204,UserInfo_205,UserInfo_206,UserInfo_207,UserInfo_208,UserInfo_209,UserInfo_210,UserInfo_211,UserInfo_212,UserInfo_213,UserInfo_214,UserInfo_215,UserInfo_216,UserInfo_217,UserInfo_218,UserInfo_219,UserInfo_220,UserInfo_221,UserInfo_222,UserInfo_223,UserInfo_224,UserInfo_225,UserInfo_226,UserInfo_227,UserInfo_228,UserInfo_229,UserInfo_230,UserInfo_231,UserInfo_232,UserInfo_233,UserInfo_234,UserInfo_235,UserInfo_236,UserInfo_237,UserInfo_238,UserInfo_239,UserInfo_240,UserInfo_241,UserInfo_242,UserInfo_243,UserInfo_244,UserInfo_245,UserInfo_246,UserInfo_247,UserInfo_248,UserInfo_249,UserInfo_250,UserInfo_251,UserInfo_252,UserInfo_253,UserInfo_254,UserInfo_255,UserInfo_256,UserInfo_257,UserInfo_258,UserInfo_259,UserInfo_260,UserInfo_261,UserInfo_262,UserInfo_263,UserInfo_264,UserInfo_265,UserInfo_266,UserInfo_267,UserInfo_268,UserInfo_269,UserInfo_270
13199,,,0,0,,0,0,,,1,,2,0,0,,,0,,107.55,0,,,,0,,1,2.88,0,,0,0,,,,,,0,0,,,,0,1,0,,0,0,,,2,0,,,,0,0,,,0,,0,,0,,0,0,,,0,,,,43.25,1,0,,0,,,1,,,,0,0,,,0,21.51,0,0,0,0,,,0,0,0.01,0,0,,0,0,0,,,0,,,2,,0,,,,1,,0,0,,,,,,,0,,0,,0,3,,,2.88,2.88,0,,,0,0,,0,1,,0.01,0,,,,2,0,0,0,0,0,,,,,2.88,,,0,0,,0,0,,,,0,,,,0,0,0,0,0,,1,,,0,0,,0,,,,,0,0,,,0,0,9576,,,0,0,0,,,,,0,,0,,,0,0,,,0,,0,,1,0,0,,0,0,2,0,0,,0,,,0,0,0,,,0,0,,0,,,,,,,0,,,0,,0,1,0,,2,,,,,,,0,2,0,,0,0,
13204,,0,0,0,138,0,0,,,0,20,2,0,0,,,7829.79,,,7829.79,,1,4,0,,0,7829.79,0,,0,0,1,,,,,0,1,,1,,0,0,0,,0,0,,,1,7,0,,,1,0,,,0,180000,0,0,7829.79,,0,0,,,0,,,,0,0,0,,,0,,0,7829.79,,,0,0,,,0,,0,0,0,0,4,0,0,7829.79,0,0,0,,0,0,0,0,,0,,,1,,7,0,,0,,,0,0,,,,,,,0,,0,1,0,,,0,0,0,0,154,,0,0,,0,,,0,0,,,,2,0,1,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,,0,,,,0,0,0,0,0,7829.79,0,,,0,7829.79,,0,,,,0,0,0,,4,0,0,,,,0,7829.79,0,,,,20,,,6,,154,0,0,,0,0,,0,,0,0,,,6,0,1,0,0,7829.79,0,,,,0,0,,,0,0,,0,,3,,,,,0,,,0,0,,0,0,0,1,,,,,,,0,6,0,,0,0,
13212,,,74800,0,,0,117000,74800,,1,,84314,1,0,,1032,0,,,0,,,,0,,0,40218,0,,0,0,,,,,,21,0,,5,,0,0,0,,0,0,,51279,0,0,0,,0,0,0,,,0,,0,,978,,0,0,358.95,,1,,,,0,0,0,,0,,,1,,,35,0,0,,,0,,0,0,2,1755,,,0,15648,0,0,0,,0,0,0,0,2944.56,0,,,3,,0,,0.973,,,,0,0,,,10858,,,,0,,0,,0,19,,,0,0,0,,,0,0,,0,,,0,0,,,,1,0,0,0,4525.67,0,0,,0,,0,117000,,0,0,,0,0,,,,0,,,,0,0,0,0,1,,0,,,1,15648,,0,,,,,0,0,,,0,0,142041,,,1,978,0,1,,,,,0,0,0,,1,0,,,2,,2995.87,,1,0,0,,0,1,4,0,0,,0,15000,,,1,0,,,0,1,,1,3000,,,,,,24570,,,0,,0,1,0,,4,,,,24570,2,,0,4,0,,0,0,
13214,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
13220,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13260,,,0,0,,0,0,,,1,,2,0,0,0,10,,,,0,,,,0,,0,0,0,,0,0,,,,,,0,0,,,,0,0,0,,0,0,,,1,0,,,,0,0,,,0,,0,,0,,0,0,,,1,,,,0,0,0,,0,,,0,,,6,0,0,,,0,,0,0,1,0,,,0,0,0,0,0,,0,0,0,,,0,0,,1,,0,,0.615666667,,,,0,0,,,,,,,0,,0,,1,25,,,0,0,,,,0,,,0,,,0,0,,,,2,0,0,0,0,0,,,,,0,,,0,0,,0,0,,,,0,,,,0,0,0,0,0,,0,,,0,0,,0,,,,,0,0,,,0,0,12082,,,1,0,0,,,,,,,0,,,0,0,,,0,,0,,0,0,2,,0,0,1,0,0,,0,,,,0,0,,,0,0,,1,3000,,,,,,0,,,0,,0,0,1,,1,,,,,,,0,1,0,,,0,
13271,,,0,0,,0,0,,,0,,2,1,0,0,253,0,,,0,,,,0,,0,11,0,,0,0,,,,,163.56,36,0,,3,,0,0,0,,0,0,,4582.36,0,0,,,0,0,0,,,0,,0,,0,,0,0,32.08,,0,,,,0,0,0,,0,,,1,,,,0,0,,,0,,0,0,1,0,,,0,0,0,0,0,19761,0,0,0,,5917,0,0,,2,,0,,0.999027778,,,,0,0,,,,,,,0,,0,,0,,,,0,11,0,,,0,0,,0,,,0,0,,,,1,0,0,0,383.95,0,,,,,11,,,0,0,,0,0,,,,0,,,,0,0,0,0,0,,0,,,0,0,,0,,,,,0,0,,,0,0,2359,,,1,0,0,1,,,,,0,0,0,,0,0,,,0,,5731.5,,1,0,0,,0,0,2,0,0,,0,30000,,,8,0,,,0,8,,0,6000,,,,,,0,,,0,,0,1,0,,2,,,,,1,,0,2,0,,0,0,
13296,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,
13305,,,0,0,,3,0,,,0,,2,0,0,0,,,,,0,,,,0,,0,0,0,,0,0,,,,,,124,0,,,,0,0,0,,0,0,,,1,0,,,,0,0,,,0,,0,,0,,0,0,,,0,,,,0,0,2,,,,,0,,,,454.73,0,,,0,,0,0,0,-2338.55,,,0,0,0,0,0,,0,0,0,,,0,0,,1,,0,,,,,,0,9906.87,,,,,,,0,,0,,0,,,,0,0,,,,0,,,0,,,0,0,,,,2,0,0,0,0,0,,,,,0,,,0,0,,0,0,,,,0,,,,1,0,0,0,0,,0,,,0,0,,0,,,,,0,0,,,0,0,,,,1,0,0,1,,,,,0,0,,,0,0,,,0,,0,,0,0,,,0,0,1,0,0,,0,,,,3,0,,,0,0,,0,,,,,,,0,,,0,,,0,0,,1,,,,,,,0,2,0,,,0,
13313,,,0,0,,0,0,,,0,,2,1,0,0,1570,,,,0,,,,0,,0,0,0,,0,0,,,,,,11,0,,,,0,0,0,,0,0,,,1,0,,,0,0,0,,,0,,0,,0,,0,0,,,0,,,,0,0,0,,0,,,0,,,108,0,0,,,0,,0,0,1,0,,,0,0,0,0,0,,0,0,0,,,0,0,,1,,0,,0.956907407,,,,0,0,,,,,,,0,,0,,0,65,,,0,2,,,,0,,,0,,,0,0,,,,0,0,0,0,3139.88,0,,,,,0,,,0,0,,0,0,,,,0,,,,0,0,0,0,0,,0,,,1,17399.05,,0,,,,,0,0,,,0,0,91366,,,0,0,0,,,,,,,0,,,0,0,,,0,,0,,1,0,1,,0,0,1,0,0,,0,,,,4,0,,,0,4,,0,18000,,,,,,0,,,0,,4,0,0,,1,,,,,,,0,2,0,,,0,
